"character","jap text","Eng","Esp"
"__system__??","{麦 = 10:","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","}","",""
"__system__??","{麦 = 12:","",""
"__system__??","{H愛欲 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"__system__??","{麦 = 17:","",""
"__system__??","{H拷問抵抗 < H拷問:","",""
"__system__??","}","",""
"__system__??","{H拷問 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 18:","",""
"__system__??","}","",""
"__system__??","{麦 = 19:","",""
"__system__??","}","",""
"Yamamoto Akuji (talking)","……おい、様子見に来たぞ。 調子はどうだ？","…… Hey, I'm here to check on you. How's it going?","…… Hola, estoy aquí para ver cómo estás. ¿Cómo va todo?"
"Ikeda Kana (talking)","…………あー！ いい人だと思ってたのに極悪人だった ひっどーいお兄さん！！！","………… Ah! I thought he was a nice guy, but he was a diabolical villain. Hateful brother!!!!","………… ¡Ah! ¡¡¡¡Pensé que era un buen hombre, pero era un hombre diabólico, mi pobre hermano!!!!"
"Yamamoto Akuji (talking)","誰が極悪人だ、食い逃げ娘。","Who is the diabolical one, the girl who ate away.","Que es una persona diabólica, la chica de la comida."
"Ikeda Kana (talking)","誰が食い逃げ娘なのよ！","Who's the girl who ate away!","¿Quién es la chica que ha comido?"
"Yamamoto Akuji (talking)","おめー以外に誰がいんだよ。 地下房に放り込まれて頭冷えたか？","Who else is there but you? Have you been thrown in a basement cell to cool off?","¿Quién más está ahí sino tú? ¿Te arrojaron a la celda del sótano para enfriarte?"
"Ikeda Kana (talking)","頭冷やす必要がどこにあるのよ！","Where's the need to cool your head!","¿Dónde está la necesidad de tener la cabeza fría?"
"Yamamoto Akuji (talking)","やれやれ、確信犯はこれだからよ。","Good grief, that's what convictions are for.","Por Dios, para eso están las condenas."
"Ikeda Kana (talking)","かっ、加奈は、お兄さんに捕まった時に 食い逃げなんかしてなかったもん！","Kana wasn't running away from food when her brother caught her!","¡Kana no estaba huyendo cuando su hermano la atrapó!"
"Yamamoto Akuji (talking)","るせー、そん時がたまたまで、 普段はしてただろうが。","That was just a coincidence. You usually do that.","Eres un poco idiota, eso fue una casualidad, pero sueles hacerlo."
"Ikeda Kana (talking)","普段って……むー、失敬な！ ごくたまによ！","Usually you mean…… Mooo, excuse me! Very occasionally!","Normalmente quieres decir…… Moo, ¡disculpa! Muy de vez en cuando."
"Yamamoto Akuji (talking)","なら有罪じゃねぇか。","Then you're guilty.","Entonces eres culpable, ¿no?"
"Ikeda Kana (talking)","法律じゃ、 現行犯でないと捕まらないはずよ！","According to the law, you can't be caught unless you're actually doing it!","Según la ley, ¡sólo se le puede pillar in fraganti!"
"Yamamoto Akuji (talking)","ほー、よく知ってんな。 法律知ってて逆手に取って、 犯行を繰り返していたわけだ。
極悪犯確定、同情の余地ナシだな。 人として恥ずかしくねぇのか、おめー。","Wow, you really know your stuff. So he knew the law, took advantage of it, and repeated his crimes.
You are a definite villain, and I have no sympathy for you. You have no shame as a human being, do you?","Vaya, sabes lo que haces. Así que conoció la ley, la utilizó en su contra y siguió delinquiendo.
Eres un villano confirmado, no tienes espacio para la simpatía. ¿No te da vergüenza como ser humano?"
"Ikeda Kana (talking)","う、うぐううううっ…………","Ugh, ugh, ugh …………","Ugh, ugh, ugh…………"
"Yamamoto Akuji (talking)","ま、安心しな。 おめーの犯行に見合うだけのお裁きを 俺が下してやっからよ。","Don't worry. I will bring you to justice for your crime.","No te preocupes. Te llevaré ante la justicia por tus crímenes."
"Ikeda Kana (talking)","弁護士呼んでよ、弁護士ーーーっ！ 法律違反よ、人権侵害よこんなのーー！","I want a lawyer. I want a lawyer! This is against the law, this is a violation of human rights!","Quiero un abogado. ¡Quiero un abogado! Va en contra de la ley, es una violación de los derechos humanos."
"Yamamoto Akuji (talking)","さすが漫画家、知識はあんなあ。 弁護士に法律に人権ときたか。
だが、現実を知らねぇな。 ここじゃ俺が法律だ。 犯罪者には人権なんざねぇんだよ。","As one would expect from a cartoonist, he knows his stuff. Lawyers, laws, and human rights.
But you don't know anything about reality. I am the law here. Criminals don't have human rights.","Como se espera de un dibujante, sabe lo que hace. Abogados, leyes y derechos humanos.
Pero tú no sabes nada de la realidad. Aquí yo soy la ley. Los delincuentes no tienen derechos humanos."
"Ikeda Kana (talking)","人でなしーーーーーっ！","Bastard!!!!","¡¡Cabrón!!"
"Yamamoto Akuji (talking)","どっちが人でなしだ、この極悪人。","Which one of you is a bastard, you diabolical person?","¿Quién de ustedes es un bastardo, persona diabólica?"
"Yamamoto Akuji (talking)","おーい、食い逃げ娘。 今日も達者かー？","Hey there, foodie girl. Are you a master today?","Hola, chica de la comida. ¿Eres magistral hoy?"
"Ikeda Kana (talking)","く、食い逃げ娘って…… やめてよ、そういうのっ！","Damn, a girl who eats and runs away…… Stop it, that kind of thing!","Kuh, una chica que come lejos…… ¡Para, eso es lo que eres!"
"Yamamoto Akuji (talking)","んじゃサバ缶娘でもいいぞ。 いや、万引きサバ缶娘か。","Then you can be a mackerel-can girl. No, shoplifting mackerel-can girl.","Entonces puedes ser una chica de lata de caballa. No, la chica de la lata de caballa."
"Ikeda Kana (talking)","………………んもーーーー！ 屈辱よ屈辱、ひっどーーーーーいっ！","………………nmooooo！ Humiliation, humiliation, teeeeeerrible!","………………nmooooo！ ¡Humillación, humillación, terriiiiiible!"
"Yamamoto Akuji (talking)","キンキンキンキンうるせえな。 甲高い声で喋んじゃねぇや。","Kinkinkinkin Shut up. Stop talking in such a high-pitched voice.","Kinkinkinkin Callate. No hables en tono agudo."
"Ikeda Kana (talking)","もう、早くおうちに帰してよおっ！ こんな不当拘留、いつまでも続けてたら お兄さんにも良くないんだからねっ！","Just send me home already! It's not good for your brother if you keep on detaining me like this!","¡Envíame a casa de una vez! ¡No es bueno para tu hermano que me sigas deteniendo así!"
"Yamamoto Akuji (talking)","……は？","What about ……?","¿Qué hay de ……?"
"Ikeda Kana (talking)","加奈にはね、姉さんがいるの！ 苺姉さん！　マスコミの人なの！
姉さん、腕利きなんだから！ きっと私を見つけ出して 助けてくれるんだから！
そしたら、お兄さんのやってる悪いこと、 何もかも全部暴露してもらうんだから！","Kana has a sister! Ichigo sister!　She's a media person!
She's the best! She's gonna find me, and she's gonna help me!
And then I'm gonna expose you for all the bad things you're doing!","¡Kana tiene una hermana! ¡Hermana de Ichigo!　¡Es una persona mediática!
 ¡Es la mejor! ¡Me encontrará y me ayudará!
 ¡Y luego te voy a exponer por todas las cosas malas que estás haciendo!"
"Yamamoto Akuji (talking)","………………プッ。
なーにが新聞記者だ、バァカ。 もうちょい上手に嘘つけや。","……………… Pfft.
What kind of a newspaper reporter are you, idiot? You can lie a little better than that.","……………… Pfft.
Eres un periodista de prensa, idiota. Miente un poco mejor."
"Ikeda Kana (talking)","ホントだもん！","It's true!","Es cierto."
"Yamamoto Akuji (talking)","本当だとしても、おめーの姉さんなら 頭の中身も知れてらぁ。 さっぱり怖かねぇな、ははははん。","Even if it's true, your sister knows what's in your head. I'm not scared at all, hahaha.","Aunque sea verdad, tu hermana sabe lo que tienes en la cabeza. No tengo ningún miedo, jajaja."
"Ikeda Kana (talking)","苺姉さんをバカにするなあああああああ！","Ichigo Don't make fun of my sister!","Ichigo ¡No te burles de mi hermana!"
"Yamamoto Akuji (talking)","おい、食い逃げ娘。 おめー、セックスの経験あんのか？","Hey, you little food runner. You ever had sex before?","Hola, chica de la comida. Tú, ¿has tenido sexo antes?"
"Ikeda Kana (talking)","な…………何よ極悪人っ！ 人を侮辱した上にセクハラ！？","What is it with you, …………, you villain! You insulted people and sexually harassed them!","¡Eres un villano de …………! ¡Insultas a la gente y la acosas sexualmente!"
