"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{☆めぐる = 10:","",""
"__system__??","}","",""
"__system__??","{☆めぐる = 12:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 2:","",""
"__system__??","{☆めぐる = 11:","",""
"__system__??","}","",""
"__system__??","{B忠誠心 > 70:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 4:","",""
"__system__??","}","",""
"__system__??","{麦 = 5:","",""
"__system__??","}","",""
"__system__??","{麦 = 10:","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","{H拷問 \ 0:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 12:","",""
"__system__??","{H拷問 \ 0:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","{H拷問 \ 0:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"__system__??","{麦 = 17:","",""
"__system__??","{H拷問抵抗 < H拷問:","",""
"__system__??","}","",""
"__system__??","{H拷問 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 18:","",""
"__system__??","}","",""
"__system__??","{麦 = 19:","",""
"__system__??","}","",""
"Noyama Meguru (talking)","はぁ~~~~。","Huh. ~~~~.","Huh. ~~~~."
"Yamamoto Akuji (talking)","ん？ 俺のほっぺにメシ粒でもついてっか？","Hmm? Do you have a grain of rice on your cheek?","¿Hmm? ¿Hay un grano de arroz en mi mejilla?"
"Noyama Meguru (talking)","いい男だっぺ~。","He's a good man!","¡Es un buen hombre!"
"Yamamoto Akuji (talking)","そりゃどーも。 しっかし、言葉に特徴がある奴だな。 どこの生まれだ。","That's no problem. He's got a distinctive accent, doesn't he? Where was he born?","Bueno, eso no es bueno. Ya sabes, tiene un lenguaje distintivo. ¿Dónde nació?"
"Noyama Meguru (talking)","トヤマっぺ。","Toyama-pe.","Toyamappe."
"Yamamoto Akuji (talking)","んでも、どー聞いても、 トヤマの言葉じゃねぇぞ。","But no matter how I hear it, it doesn't sound like Toyama's words.","Pero no importa cómo lo escuches, no es de Toyama."
"Noyama Meguru (talking)","生まれたのはトヤマだっぺけど、 薬売りのおっとぉについてニホン中を 歩いてたら、こんな風になっちまっただ。","I was born in Toyama, but I followed a medicine man around Japan and ended up like this.","Nací en Toyama, pero seguí a un curandero por todo Japón y acabé así."
"Yamamoto Akuji (talking)","バイリンガルか………","Bilingual or ………","Bilingüe o ………"
"Noyama Meguru (talking)","んだら、ハイカラなモンじゃないっぺよ。","It's not a very sophisticated thing, you know.","El 'no soy una cosa de alto color'."
"narrator","悪司はチラリと時計を見た。","Akuji glanced at his watch.","Akuji miró su reloj."
"Yamamoto Akuji (talking)","おせぇな…","You're late…","Llegas tarde…"
"Noyama Meguru (talking)","んだらこつ、お待たせしちまった みたいで。","I'm sorry to keep you waiting.","Siento haberte hecho esperar."
"Yamamoto Akuji (talking)","おー、待った待った。 何してた？","Oh, wait, wait, wait. What were you doing?","Oh, espera, espera, espera. ¿Qué estabas haciendo?"
"Noyama Meguru (talking)","行商行ってただ。","I was peddling.","Estaba pedaleando."
"Yamamoto Akuji (talking)","ぎょ~~しょ~~？？","Gyo~sho~?","¿Gyo~sho~?"
"Noyama Meguru (talking)","んだ。 トヤマの薬だ。 悪司さもいるっぺか？","I'm not sure what it is. It's the medicine from Toyama. Is Akuji there too?","Nam. Es la medicina de Toyama. ¿Está Akuji allí también?"
"Yamamoto Akuji (talking)","いらね。","I don't want it.","No es necesario."
"Noyama Meguru (talking)","ばっちゃまが、送ってきたから、 おら、頑張って売ってるだよ。
奉仕青年団の人たちゃ、 みんな、親切だべ。 色々買って貰ったっぺ。","My grandma sent them to me, so I'm doing my best to sell them.
The people in the youth service group are very kind. They bought me all kinds of things.","Mi abuela me los envió, así que estoy haciendo lo posible por venderlos.
La gente del Cuerpo de Servicio Juvenil es muy amable. Me compraron todo tipo de cosas."
"Yamamoto Akuji (talking)","んぢゃー、俺もいい人って事で、 ダラニスケだまでも貰っとこうかな。","Well, I guess I'll just have to take it as a sign that I'm a good guy too.","Lo tomaré como una señal de que soy una buena persona, aunque sea Dalaniske."
"Noyama Meguru (talking)","ありがとだっぺー。","Thanks for your help.","Gracias."
"narrator","悪司は漫画を読んでいる。","Akuji is reading manga.","Akuji lee manga."
"Noyama Meguru (talking)","悪司さ、おらの事呼んだっぺ~？","Akuji, did you call me?","Akuji, ¿me has llamado?"
"Yamamoto Akuji (talking)","おう。 こっちゃこ、こっちゃこ。","Oh. Kocha-ko, kocha-ko.","Oh. Kochako, kochako."
"Noyama Meguru (talking)","うつってるっぺよ、悪司。","Utsutteiruppe yo, Akuji.","Utsutte kuppe yo, Akuji."
"Yamamoto Akuji (talking)","めぐる、俺の事好きか？","Meguru, do you like me?","Meguru, ¿te gusto?"
"Noyama Meguru (talking)","んだ、好きだぁ。","I love it!","Me gusta."
"Yamamoto Akuji (talking)","じゃあ、繋がりたいって思うか？","So you think you want to connect?","¿Crees que quieren conectarse?"
"Noyama Meguru (talking)","あーうー、そーだなー。","Uh-uh.","Uh-uh, sí."
"Yamamoto Akuji (talking)","やってから細かい事考えな。","Think about the details after you do it.","Hazlo y luego piensa en los detalles."
"Noyama Meguru (talking)","え、あ、っていうか、悪司さ、 性急だっぺ~！","Eh, I mean, Akuji, you're being so hasty~!","Bueno, quiero decir, Akuji, ¡te estás precipitando!"
